figure,panel,decision,rationale
Figure 1,a,KEEP,"Prior source redraw corrected the demonstrated semantic defect; traceability audit found no remaining numerical, unit or interpretive-role mismatch."
Figure 1,b,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
Figure 1,c,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
Figure 1,d,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
Figure 2,a,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
Figure 2,b,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
Figure 2,c,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
Figure 2,d,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
Figure 3,a,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
Figure 3,b,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
Figure 3,c,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
Figure 3,d,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
Figure 4,a,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
Figure 4,b,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
Figure 4,c,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
Figure 4,d,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
Figure 5,a,KEEP,"Prior source redraw corrected the demonstrated semantic defect; traceability audit found no remaining numerical, unit or interpretive-role mismatch."
Figure 5,b,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
Figure 5,c,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
Figure 5,d,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
Figure 5,e,KEEP,"No numerical, semantic, claim-ownership or final-size legibility defect demonstrated."
