claim_id,scientific_object,manuscript_anchor,primary_evidence_owner,source_object,source_locator,analysis_unit,reported_value,source_value,status,note
C01,Discovery B-lineage input and retained QC population,Results: Disease-blind reconstruction,Figure 1a / Results,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Figure1_source_data.csv,panel=a; series=study_design; categories=GSE174188 source B lineage / hard-QC retained / metadata hierarchy,cell; donor; biological sample / sample-cohort metadata hierarchy,"152,981 cells; 30,172 genes; 150,402 retained; 259 donors; 271 biological samples; 88 libraries; 4 cohorts",152981 / 30172; 150402 / 259; 271 samples; detail records 88 libraries,PASS_WITH_ARCHIVE_DETAIL,Four processing cohorts are reader-visible in Results/S1; no contradictory count found.
C02,Frozen-representation two-compartment identity stability,Results + Supplementary Table S3 + Figure 1b-d,Figure 1b-d,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Figure1_source_data.csv,"panel=b minimum mapped ARI, 2-compartment; panel=c mapping agreement; panel=d B_ASC/B_CONV Jaccard",cell resample within technical library,minimum mapped ARI 0.990; minimum agreement 0.9998; minimum state-median Jaccard 0.991,0.99020665698; 0.99983377660; B_ASC median Jaccard 0.99137097367,PASS_ROUNDING,Displayed values are faithful rounding.
C03,End-to-end reconstruction boundary,Results + Supplementary Table S3 + Supplementary Figure S9a-b,Supplementary Figure S9a-b,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Supplementary_Figure_S9_source_data.csv,"record_type=threshold_audit; metric=Median/Minimum mapped ARI, Median/Minimum agreement, Minimum state median Jaccard; state_jaccard B_ASC",20 complete within-library reconstruction resamples,"median/min ARI 0.963/0.930; median/min agreement 0.99937/0.99877; B_ASC median Jaccard 0.930, minimum 0.872; criterion 0.95 not met",0.9629724/0.9296968; 0.99936835/0.99876995; state-median 0.93032334; minimum B_ASC 0.87175043,PASS_ROUNDING,Failure is correctly localized to B_ASC overlap.
C04,Median broad-state assignment exchanges,Results + Supplementary Figure S9c,Supplementary Figure S9c,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Supplementary_Figure_S9_source_data.csv,panel=c; record_type=boundary_exchange; false_negative + false_positive over replicates 1-20,sampled cells per end-to-end replicate,"median 76 of 120,320 sampled cells exchanged assignment","median of replicate exchange totals = 76; sampled cells=120,320 per replicate",PASS_DERIVED,76 is the median of the two-direction exchange-count sums.
C05,Boundary propagation preserves composition interpretation,Results + Supplementary Table S3 + Supplementary Figure S9d,Supplementary Figure S9d,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Supplementary_Figure_S9_source_data.csv,panel=d; record_type=composition_propagation; analysis=primary; replicates 1-20,sample-cohort stratum; 43 control + 47 managed SLE,OR range 0.896-0.967; every 95% CI includes 1,minimum OR 0.8960396; maximum rounds to 0.967; all stored intervals include 1,PASS_ROUNDING,Sensitivity remains same-data; not promoted to independent evidence.
C06,Boundary propagation preserves B_CONV IFN/ISG effects,Results + Supplementary Table S3 + Supplementary Figure S9e,Supplementary Figure S9e,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Supplementary_Figure_S9_source_data.csv,panel=e; record_type=ifn_propagation; analyses=primary_base and validation_nonoverlap; replicates 1-20,sample-cohort B_CONV pseudobulk,primary 0.836-0.845; donor-nonoverlap 1.059-1.087; all intervals above zero,primary min≈0.83610 max≈0.84461; nonoverlap min≈1.05932 max≈1.08666; all CIs >0,PASS_ROUNDING,Exactly 40 perturbed effect estimates are represented.
C07,Primary B_ASC composition result,Results + Supplementary Table S3 + Figure 2a-b,Figure 2a-b,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Figure2_source_data.csv,panel=b; series=frozen contrast; analysis_id=C3A_PRIMARY_C4_MANAGED_VS_NORMAL; variant=frozen_base50,sample-cohort stratum,"43 controls, 47 managed SLE; OR 0.947; 95% CI 0.636-1.410; P=0.787; adjusted fractions 1.61% vs 1.52%",43/47; OR 0.94665316; CI 0.63570470-1.40969889; P 0.78727912; fractions 0.01609421/0.01524928,PASS_ROUNDING,No equivalence claim is made.
C08,Primary composition HC1 sensitivity,Results + Figure 2 / Supplementary Figure S4,Figure 2 source data; S4 sensitivity,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Figure2_source_data.csv,same primary frozen-contrast row; hc1_sandwich_* fields,sample-cohort stratum,95% CI 0.651-1.376; P=0.774,CI 0.65116429-1.37623058; P 0.77397913,PASS_ROUNDING,Sensitivity does not own the primary composition claim.
C09,Secondary composition context,Results + Figure 2b,Figure 2b,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Figure2_source_data.csv,C3A_VALIDATION_C2_EUROPEAN_FEMALE; exclude_primary_sample_or_donor_overlap; C3A_SECONDARY_C3_FLARE_VS_NORMAL,sample-cohort stratum; donor-nonoverlap sensitivity,"internal OR 0.772; donor-nonoverlap OR 0.591 (n=53); flare OR 2.303, nominal P=0.0282, q=0.0845","0.77236847; 0.59119938 with n=53; 2.30286569, P 0.02817377, q 0.08452131",PASS_ROUNDING,Flare remains explicitly secondary and not multiplicity-supported.
C10,Primary B_CONV IFN/ISG program effect,Results + Supplementary Table S3 + Figure 3a-b,Figure 3a-b,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Figure3_source_data.csv,panel=a/b; analysis_name=primary_base; program_id=IFN_ISG,"89 sample-cohort B_CONV pseudobulks (43 reference, 46 SLE)",effect 0.837; 95% CI 0.525-1.148; q=2.98e-6,"0.83655648; CI 0.52543026-1.14768269; q 2.97700418e-6; n=89, 43/46",PASS_ROUNDING,Primary transcription claim has a single main-figure owner.
C11,Internal IFN/ISG robustness sequence,Results + Figure 3b + Supplementary Figure S5d,Figure 3b,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Figure3_source_data.csv,panel=b; analysis_name=validation_full / validation_nonoverlap,sample-cohort B_CONV pseudobulk,"internal 0.856, q=0.00462; donor-nonoverlap 1.086, q=3.61e-4","0.85612620, q 0.00461517; 1.08624050, q 0.000360528",PASS_ROUNDING,Both are accession-internal; manuscript labels them accordingly.
C12,Four-program prioritization,Results + Figure 3a,Figure 3a,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Figure3_source_data.csv,panel=a; primary_base; program_id NAIVE_TO_MEMORY_AXIS / ATYPICAL_LOW_NAIVE_AXIS / APC_HLA / IFN_ISG,sample-cohort B_CONV pseudobulk,naive-memory -0.541 q=0.0213; APC/HLA 0.268 q=0.0213; atypical -0.057 q=0.748; IFN/ISG 0.837 q=2.98e-6,-0.540718/0.0213348; 0.267680/0.0213348; -0.056810/0.747946; 0.836556/2.977e-6,PASS_ROUNDING,Only IFN/ISG survives the full prespecified replication sequence.
C13,Independent childhood GSE135779 IFN/ISG replication,Results + Supplementary Table S3 + Figure 4a-b,Figure 4a-b,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Figure4_source_data.csv,panel=a; analysis_name=childhood_min50; program_id=IFN_ISG,donor,"43 donors (11 controls, 32 SLE); effect 1.042; 95% CI 0.681-1.402; q=2.98e-6",label 11 HC/32 SLE; effect 1.04175695; CI 0.68116559-1.40234831; q 2.97551135e-6,PASS_ROUNDING,This is the primary independent replication owner.
C14,Combined/adult external estimates and support thresholds,Results + Figure 4a,Figure 4a,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Figure4_source_data.csv,panel=a; combined_min50 / adult_min50 / combined_min20 / combined_min100,donor,combined 0.996 CI 0.655-1.337 q=1.31e-6; adult 0.968 CI -0.123-2.060 q=0.291; min20 0.965 q=6.75e-7; min100 0.939 q=4.06e-6,0.995974/1.31049e-6; 0.968416/0.291356; 0.964930/6.75098e-7; 0.938706/4.06107e-6,PASS_ROUNDING,Adult remains directional only.
C15,External donor/source-label influence,Results + Figure 4d,Figure 4d,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Figure4_source_data.csv,panel=d_donor summary; panel=d_source childhood_min50_without_b_casc0..7,donor / source-label omission,43 donor deletions 0.987-1.094; eight label omissions 1.019-1.051,d_donor min 0.9865758 max 1.0937454; d_source min 1.0191059 max 1.0512864,PASS_ROUNDING,Influence analyses support robustness but do not replace the full childhood estimate.
C16,Program replication despite weak genome-wide concordance,Results + Supplementary Table S3 + Figure 4c,Figure 4c,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Figure4_source_data.csv,"panel=c; fields gse174188_logFC, gse135779_logFC, is_frozen_ifn_gene across 4,410 shared tested genes",shared tested gene,"4,410 genes; Spearman rho=0.026; ten jointly tested IFN genes positive in both",rho derived from the two panel-c logFC fields; IFN subset identified by is_frozen_ifn_gene,PASS_DERIVED,"Claim is correctly program-level, not genome-wide replication."
C17,Corrected source-label-independent mapping calibration boundary,Results + Supplementary Table S9 + Supplementary Figure S10,Supplementary Figure S10 / Table S9,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Supplementary_Figure_S10_source_data.csv,panel=b-c; mapper=elastic_net threshold=0.95; nearest_centroid threshold/margin row,donor-grouped reference calibration; state-specific reference cells,elastic-net coverage 94.20%; B_CONV precision 99.64%; B_ASC precision 88.52% <90%; centroid eligible but not replacement; no corrected disease outcome,"0.94195804; 0.99644951; 0.88520971; centroid coverage 0.95, B_CONV 0.99237438, B_ASC 1.0",PASS_ROUNDING,"No effect/P/q exists after failed required calibration, consistent with Table S9."
C18,ULM STAT1/STAT2 cross-contrast concordance,Results + Figure 5a-b,Figure 5b,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Figure5_source_data.csv,"series=regulator_activity; categories gse174188_primary|STAT1/STAT2, gse174188_internal_nonoverlap|STAT1/STAT2, gse135779_childhood|STAT1/STAT2",ranked tested genes within each contrast,all six STAT1/STAT2 ULM estimates positive and global 24-test q<0.05,"all six estimates >0; all six stored q values <0.05; target counts 98/14, 129/19, 161/20",PASS_EXACT_LOGIC,"Figure 5a correctly treats global q as observed-result metadata, not evidence role."
C19,Correlation-aware STAT1/STAT2 sensitivity,Results + Supplementary Table S4 + Supplementary Figure S7,Supplementary Figure S7,phase17_v7/npj_sba_scientific_presentation_freeze/20260831_reader_path_and_legend_economy/figures/source_data/Supplementary_Figure_S7_source_data.csv,"six rows by contrast/regulator; camera_inter_gene_correlation, camera_q_core6, fry_q_core6, matched_signed_targets",ranked gene statistics; same matched regulons,"CAMERA positive 6/6, BH significant 5/6; discovery STAT2 corr 0.1225 q=0.1355; FRY significant 6/6, discovery STAT2 q=4.91e-5",0.12250273; CAMERA q 0.13547222; FRY q 4.90918e-5; all directions Up,PASS_ROUNDING,Explicit exception is preserved in text and table.
