object,tier,current_evidence_role,decision,new_display_panel,claim_owner_after_prune,reason
Figure 1a,Main,"study design, disease-blind identity scope and inferential-unit workflow",KEEP,1a,Figure 1a,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 1b,Main,candidate identity-policy median/minimum mapped ARI,KEEP,1b,Figure 1b,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 1c,Main,replicate-level two-compartment mapped ARI and mapping agreement,KEEP,1c,Figure 1c,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 1d,Main,broad-state Jaccard stability and B_ASC marker support,KEEP,1d,Figure 1d,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 2a,Main,observed and adjusted primary B_ASC composition,KEEP,2a,Figure 2a,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 2b,Main,base composition contrasts including internal/nonoverlap/flare context,KEEP,2b,Figure 2b,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 2c,Main,prespecified primary composition-policy sensitivities,KEEP,2c,Figure 2c,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 2d,Main,leave-one-sample-out primary composition influence,KEEP,2d,Figure 2d,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 3a,Main,four prespecified primary B_CONV program effects,KEEP,3a,Figure 3a,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 3b,Main,IFN/ISG effect across frozen GSE174188 branches,KEEP,3b,Figure 3b,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 3c,Main,IFN positive-arm gene-level directions in primary/nonoverlap contrasts,KEEP,3c,Figure 3c,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 3d,Main,IFN and specificity-control program families,KEEP,3d,Figure 3d,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 4a,Main,GSE135779 IFN/ISG donor-level replication and support thresholds,KEEP,4a,Figure 4a,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 4b,Main,discovery/internal versus external source-label-defined IFN/ISG effects,KEEP,4b,Figure 4b,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 4c,Main,cross-dataset genome-wide effects with shared IFN-gene highlight,KEEP,4c,Figure 4c,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 4d,Main,childhood IFN/ISG donor deletion and source-label omission robustness,KEEP,4d,Figure 4d,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 5a,Main,evidence hierarchy and interpretive classes,KEEP,5a,Figure 5a,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 5b,Main,IFN-centred CollecTRI regulator activity,KEEP,5b,Figure 5b,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 5c,Main,proliferation specificity comparators,KEEP,5c,Figure 5c,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 5d,Main,M5911 response-set enrichment,KEEP,5d,Figure 5d,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Figure 5e,Main,two-donor descriptive IFN-beta perturbation,KEEP,5e,Figure 5e,Main-text evidence owner; no duplicate-owner or scientific-presentation defect localized.
Supplementary Figure S1a,Supplementary,hard-QC failure fractions by processing cohort and disease group,KEEP,a,Supplementary Figure S1a,Unique diagnostic or boundary evidence; overlap with main text is explanatory rather than duplicate numerical ownership.
Supplementary Figure S1b,Supplementary,library residual-risk fraction versus cell count,KEEP,b,Supplementary Figure S1b,Unique diagnostic or boundary evidence; overlap with main text is explanatory rather than duplicate numerical ownership.
Supplementary Figure S1c,Supplementary,risk-negative versus residual-risk-call retained-cell composition,KEEP,c,Supplementary Figure S1c,Unique diagnostic or boundary evidence; overlap with main text is explanatory rather than duplicate numerical ownership.
Supplementary Figure S1d,Supplementary,library checkpoint score distribution,KEEP,d,Supplementary Figure S1d,Unique diagnostic or boundary evidence; overlap with main text is explanatory rather than duplicate numerical ownership.
Supplementary Figure S2a,Supplementary,technical-neighbour concentration before/after Harmony,KEEP,a,Supplementary Figure S2a,Unique diagnostic or boundary evidence; overlap with main text is explanatory rather than duplicate numerical ownership.
Supplementary Figure S2b,Supplementary,cross-cohort bridge-pair distance,KEEP,b,Supplementary Figure S2b,Unique diagnostic or boundary evidence; overlap with main text is explanatory rather than duplicate numerical ownership.
Supplementary Figure S2c,Supplementary,disease-blind branch concordance across Leiden resolutions,KEEP,c,Supplementary Figure S2c,Unique diagnostic or boundary evidence; overlap with main text is explanatory rather than duplicate numerical ownership.
Supplementary Figure S2d,Supplementary,fine-cluster marker-module localization,KEEP,d,Supplementary Figure S2d,Unique diagnostic or boundary evidence; overlap with main text is explanatory rather than duplicate numerical ownership.
Supplementary Figure S3a,Supplementary,candidate identity-policy median/minimum mapped ARI,PRUNE_FROM_DISPLAY__EXACT_DUPLICATE,,Figure 1b,Exact frozen Source Data duplicate of Figure 1b policy-level median/minimum ARI and mapping agreement.
Supplementary Figure S3b,Supplementary,fine-state cluster-Jaccard failure localization,KEEP__RENUMBER_TO_a,a,Supplementary Figure S3a (new),Unique localization of instability to fine-state membership; not shown in Figure 1.
Supplementary Figure S3c,Supplementary,mean transition matrix among original and mapped reference clusters,KEEP__RENUMBER_TO_b,b,Supplementary Figure S3b (new),Unique transition-structure evidence explaining why broad adjudication was adopted.
Supplementary Figure S3d,Supplementary,B_CONV/B_ASC broad-state minimum-to-median Jaccard,PRUNE_FROM_DISPLAY__EXACT_DUPLICATE,,Figure 1d,Exact frozen Source Data duplicate of Figure 1d broad-state median/minimum Jaccard evidence.
Supplementary Figure S4a,Supplementary,zero-ASC structure motivating count-aware composition modelling,KEEP,a,Supplementary Figure S4a,Unique diagnostic or boundary evidence; overlap with main text is explanatory rather than duplicate numerical ownership.
Supplementary Figure S4b,Supplementary,primary composition-policy estimates under model-based and HC1 covariance,KEEP,b,Supplementary Figure S4b,KEEP: uniquely adds model-based versus HC1 covariance comparison. Optional source-level panel-title polish only; no data change.
Supplementary Figure S4c,Supplementary,Firth-logistic ASC-presence sensitivity,KEEP,c,Supplementary Figure S4c,Unique diagnostic or boundary evidence; overlap with main text is explanatory rather than duplicate numerical ownership.
Supplementary Figure S4d,Supplementary,positive-only abundance sensitivity,KEEP,d,Supplementary Figure S4d,Unique diagnostic or boundary evidence; overlap with main text is explanatory rather than duplicate numerical ownership.
