claim,primary_figure_or_table,result_file,analysis_script,key_support,current_limitation
"The public Perez/GSE174188 object supports a large B-lineage SLE analysis","Figure 1","03_results/figure1_dataset_overview/tables/figure1_dataset_summary.csv","02_analysis/scripts/18_make_figure1_dataset_overview.py","1,263,676 source cells; 261 source donors; 152,981 B-lineage cells; 259 B-lineage donors","Single public dataset currently anchors the main analysis"
"The analysis separates scaled visualization data from count-based expression summaries","Figure 1F; Methods draft","02_analysis/data_inventory/h5ad_inspection/GSE174188_cellxgene/basic_info.json","02_analysis/scripts/01_inspect_h5ad.py","X inspected as preprocessed/scaled; raw-count marker work uses adata.raw.X","Need final Methods wording to describe CELLxGENE processing provenance cleanly"
"SLE expands an activated naive-like B-cell state","Figure 2C-D","03_results/first_pass_bcell_full/tables/state_level/donor_state_fraction_disease_tests.csv","02_analysis/scripts/17_make_figure2_v3_refined.py","Normal mean fraction 0.129; SLE mean fraction 0.275; FDR 7.42e-14","State label should remain conservative because it mixes naive and activation markers"
"SLE expands an atypical ABC/APC-like B-cell state","Figure 2C-D; Figure 3C","03_results/first_pass_bcell_full/tables/state_level/donor_state_fraction_disease_tests.csv","02_analysis/scripts/17_make_figure2_v3_refined.py","Normal mean fraction 0.0259; SLE mean fraction 0.0549; FDR 2.67e-05","Association only; no causal claim"
"ABC/APC-like expansion is robust to excluding the flagged platelet/ambient-RNA-high cluster","Figure 2D; Figure 3C","03_results/first_pass_bcell_full/marker_refinement/sensitivity/donor_state_fraction_tests_exclude_Naive_B_III_-_small_naive-like_cluster.csv","02_analysis/scripts/16_state_fraction_sensitivity.py","Sensitivity FDR 1.68e-05 for ABC/APC-like state","Sensitivity addresses this flagged cluster but not all possible batch/covariate issues"
"The ABC/APC-like state carries donor-aware ABC/DN2 and APC/HLA expression programs","Figure 3B-D","03_results/figure3_abc_apc_focus/tables/abc_apc_vs_other_program_tests.csv","02_analysis/scripts/19_pseudobulk_state_expression.py","ABC ranked delta 0.871 FDR 6.38e-93; ABC/DN2 delta 0.448 FDR 1.30e-92; APC/HLA delta 0.413 FDR 3.65e-83","Marker-set pseudobulk program analysis, not genome-wide DE"
"The ABC/APC-like state has modest IFN-response elevation","Figure 3B,E","03_results/figure3_abc_apc_focus/tables/abc_apc_vs_other_program_tests.csv","02_analysis/scripts/19_pseudobulk_state_expression.py","IFN-response delta 0.084; FDR 2.98e-07; flare donor-states show highest descriptive IFN score","Disease-state patterns are descriptive; some strata are small"
"A memory-like B-cell state is reduced or redistributed in SLE","Figure 2C-D","03_results/first_pass_bcell_full/tables/state_level/donor_state_fraction_disease_tests.csv","02_analysis/scripts/17_make_figure2_v3_refined.py","Memory-like B I normal mean fraction 0.259; SLE mean fraction 0.157; FDR 6.45e-13","Needs careful wording as redistribution/depletion, not mechanism"
"Plasmablasts are transcriptionally clear but not the dominant donor-level abundance signal","Figure 2B-C","03_results/first_pass_bcell_full/tables/state_level/donor_state_fraction_disease_tests.csv","02_analysis/scripts/17_make_figure2_v3_refined.py","Plasmablast markers MZB1/JCHAIN/XBP1/TNFRSF17; donor-level FDR not significant","Avoid claiming plasmablast expansion as main result"
"The platelet/ambient-RNA-high cluster should be treated as QC-limited","Figure 1F; Figure 2B,D","03_results/first_pass_bcell_full/marker_refinement/tables/raw_count_marker_summary_by_state.csv","02_analysis/scripts/15_raw_count_rank_state_markers.py","Flagged markers include PPBP, PF4, NRGN, TUBB1, RGS18, CAVIN2, GNG11, SPARC","Needs supplemental QC figure before final submission"
"Core abundance signals remain robust after donor-level covariate adjustment","Figure 4","03_results/figure4_covariate_sensitivity/tables/state_abundance_covariate_models.csv","02_analysis/scripts/22_covariate_sensitivity_abundance.py","Full-adjusted ABC/APC-like beta 0.0175 FDR 2.22e-02; activated SLE-naive-like beta 0.1491 FDR 2.41e-10; memory-like B I beta -0.0999 FDR 9.66e-07","Observational sensitivity analysis; cannot establish causality"
"Disease-state abundance patterns are descriptive","Figure 4F","03_results/figure4_covariate_sensitivity/tables/state_abundance_by_disease_state_summary.csv","02_analysis/scripts/22_covariate_sensitivity_abundance.py","Disease-state summaries show higher ABC/APC-like abundance in SLE flare and SLE mixed donor groups than normal donors","Disease_state is nested within disease status and some donors have mixed disease-state labels"
"ABC/APC-like state aligns with literature-informed ABC/APC signatures","Figure 5","03_results/figure5_literature_signature_validation/tables/abc_apc_vs_other_literature_signature_tests.csv","02_analysis/scripts/23_literature_signature_validation.py","ABC/DN2 core delta 0.448 FDR 1.56e-92; ZEB2 ABC delta 0.694 FDR 7.76e-93; APC/HLA delta 0.413 FDR 2.63e-83; EBV/APC-like delta 0.259 FDR 7.13e-71","Signature panel is literature-informed and needs formal citation audit"
"TLR7/FTO innate-axis is not focus-state specific","Figure 5C,E","03_results/figure5_literature_signature_validation/tables/abc_apc_vs_other_literature_signature_tests.csv","02_analysis/scripts/23_literature_signature_validation.py","TLR7/FTO innate-axis delta -0.002 FDR 0.447; focus rank 5","Use as boundary/negative result; do not overclaim this pathway as state-defining"
