signature,anchor,expected_focus,n_positive_present,n_negative_present,positive_present,negative_present,primary_citations,support_level,audit_note
ABC_DN2_core,ABC/DN2-like B-cell literature seed,high,7,0,TBX21;ITGAX;FCRL5;FCRL3;ZEB2;CXCR3;TLR7,,Dai2024; Zeng2025; Perez2022,primary_state_interpretation,ABC/DN2 marker framing is supported by age-associated/ABC SLE biology; formal final draft may need additional classic DN2 references if available.
ABC_low_naive_context,ABC/DN2 identity with low naive-context markers,high,7,3,TBX21;ITGAX;FCRL5;FCRL3;ZEB2;CXCR3;TLR7,CR2;FCER2;TCL1A,Dai2024; Zeng2025,primary_state_interpretation,Signed score combines ABC markers with low naive-context markers; useful but should be described as an analysis construct.
ZEB2_ABC_axis,ZEB2-linked ABC formation mechanism,high,8,0,ZEB2;FCRL5;FCRL3;HCK;FGR;MAP3K8;TNFRSF1B;ZBTB32,,Dai2024,strong_direct_anchor,Direct ZEB2/ABC formation anchor.
APC_HLA_B_cell,Antigen-presentation/APC-like B-cell program,high,10,0,CD74;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;B2M;CIITA;CD86,,Younis2025; Perez2022,primary_state_interpretation,Supports antigen-presentation/APC-like B-cell framing.
EBV_APC_like_B,EBV-positive APC-like autoreactive B-cell framing,high,8,0,CD74;HLA-DRA;HLA-DRB1;B2M;CIITA;CD86;CD83;IRF4,,Younis2025,strong_direct_anchor,Use for EBV/APC-like conceptual framing; avoid claiming EBV positivity in our dataset unless measured.
IFN_ISG,Type I interferon response,moderate,12,0,ISG15;IFIT1;IFIT2;IFIT3;MX1;MX2;OAS1;OAS2;IFI44L;IFI6;LY6E;IRF7,,Perez2022; Zheng2022,disease_context,"Supports IFN/ISG lupus inflammatory context, but our state is not uniquely maximal for IFN."
TLR7_FTO_innate_axis,TLR7-FTO/m6A innate-sensing mechanism,moderate,9,0,TLR7;MYD88;IRAK1;IRF7;NFKB1;RELA;IFIH1;FTO;ATP6V1G1,,Zeng2025,boundary_context,Not focus-state specific in our data; use as boundary/mechanistic context only.
Age_associated_B_like,Age-associated/atypical B-cell marker framing,high,7,3,TBX21;ITGAX;FCRL5;FCRL3;CXCR3;ZEB2;TNFRSF1B,CR2;FCER2;TCL1A,Dai2024; Zeng2025,primary_state_interpretation,Strongly supports age-associated/atypical B-cell framing.
Naive_B_control,Naive B-cell control,low,7,0,TCL1A;IL4R;FCER2;CCR7;SELL;CXCR4;VPREB3,,current_dataset_marker_control,control_signature,Canonical marker control; not a central literature claim.
Memory_B_control,Memory B-cell control,low,7,0,CD27;TNFRSF13B;AIM2;BANK1;CD40;LTB;GPR183,,current_dataset_marker_control,control_signature,Canonical marker control; not a central literature claim.
Plasmablast_ASC_control,Plasmablast/ASC control,low,10,0,MZB1;XBP1;PRDM1;JCHAIN;SDC1;IRF4;TNFRSF17;DERL3;FKBP11;HSP90B1,,current_dataset_marker_control,control_signature,Canonical marker control; not a central literature claim.
Platelet_ambient_QC,Platelet/ambient RNA QC control,low,10,0,PPBP;PF4;NRGN;TUBB1;RGS18;CAVIN2;GNG11;SPARC;MYL9;CLU,,current_dataset_QC,qc_signature,QC signature derived from dataset-specific ranked markers.
