scope,edit,object_type,rationale,old_text,new_text,scientific_estimate_changed
Manuscript,Title claim calibration,TITLE,Distinguish comparative reproducibility from an absolute claim that biological states are unstable.,# Disease-blind reconstruction distinguishes reproducible interferon remodeling from unstable B-cell state assignments in systemic lupus erythematosus,# Disease-blind reconstruction distinguishes reproducible interferon remodeling from less stable B-cell state assignments in systemic lupus erythematosus,False
Manuscript,Abstract result and landing calibration,ABSTRACT,Replace equivalence-prone null language and close on the single comparative contribution.,"Single-cell disease studies can conflate cell identity, abundance and transcription when unstable annotations are treated as fixed biological states. We reanalysed public systemic lupus erythematosus datasets using disease-blind B-lineage reconstruction and donor-aware inference. Among 150,402 discovery B-lineage cells, end-to-end resampling failed a prespecified antibody-secreting-cell overlap criterion, restricting broad B-cell compartments to an analysis scaffold, yet propagation of observed assignment exchanges preserved the primary composition null and conventional-B IFN/ISG effect. The IFN/ISG program replicated in independent GSE135779 childhood donors using a source-label-defined broad B-cell analogue despite weak genome-wide concordance. Corrected source-label-independent remapping failed prespecified calibration, so no corrected external disease effect was estimated. STAT1/STAT2 analyses provided convergent but observational support and weakened after broader interferon-gene depletion. These results separate reproducible process-level interferon remodeling from less stable hard state assignments without establishing a universal B-cell taxonomy, causal regulator or clinical utility.","Single-cell disease studies can conflate cell identity, abundance and transcription when unstable annotations are treated as fixed biological states. We reanalysed public systemic lupus erythematosus datasets using disease-blind B-lineage reconstruction and donor-aware inference. Among 150,402 discovery B-lineage cells, end-to-end resampling failed a prespecified antibody-secreting-cell overlap criterion, restricting broad B-cell compartments to an analysis scaffold; propagating observed assignment exchanges did not change the primary composition interpretation or the positive conventional-B IFN/ISG effect. The IFN/ISG program replicated in independent GSE135779 childhood donors using a source-label-defined broad B-cell analogue despite weak genome-wide concordance. Corrected source-label-independent remapping failed prespecified calibration, so no corrected external disease effect was estimated. STAT1/STAT2 analyses provided convergent but observational support and weakened after broader interferon-gene depletion. Thus, reproducibility was stronger for a process-level interferon program than for hard state assignments, without establishing a universal taxonomy, causal regulator or clinical utility.",False
Manuscript,Source and QC evidence owner,RESULTS,Point the first source-support claim to its diagnostic owner.,disease effects were restricted to prespecified contrasts with common support.,disease effects were restricted to prespecified contrasts with common support (Supplementary Fig. S1).,False
Manuscript,Representation evidence owner,RESULTS,Point representation checks to their first evidence owner.,marker coverage were evaluated before disease fields were joined.,marker coverage were evaluated before disease fields were joined (Supplementary Fig. S2).,False
Manuscript,Identity adjudication evidence owner,RESULTS,Point the two-compartment transition claim to its diagnostic owner.,platelet-associated expression retained as a technical overlay.,platelet-associated expression retained as a technical overlay (Supplementary Fig. S3).,False
Manuscript,Figure 1 panel ownership,RESULTS,Resolve the broad figure callout to the panels owning the stated metrics.,introduced by rebuilding the representation itself (Fig. 1).,introduced by rebuilding the representation itself (Fig. 1a-d).,False
Manuscript,Composition evidence owners,RESULTS,Attach composition and sensitivity claims to main and supplementary evidence owners.,none of the 90 leave-one-sample-out fits generated evidence that reversed the primary interpretation.,none of the 90 leave-one-sample-out fits generated evidence that reversed the primary interpretation (Fig. 2a-d; Supplementary Fig. S4).,False
Manuscript,IFN discovery evidence owners,RESULTS,"Attach program, gene and robustness claims to their displays.","leading signals included USP18, IFI44L, EPSTI1, IFIT3, MX1, IFI6, OAS2, ISG15 and STAT1.","leading signals included USP18, IFI44L, EPSTI1, IFIT3, MX1, IFI6, OAS2, ISG15 and STAT1 (Fig. 3a-c; Supplementary Fig. S5).",False
Manuscript,Program-specificity evidence owner,RESULTS,Expose the panel owning the negative specificity boundary.,only program with consistent support across the prespecified discovery and internal robustness sequence.,only program with consistent support across the prespecified discovery and internal robustness sequence (Fig. 3d).,False
Manuscript,External effect evidence owners,RESULTS,Attach external effects and support sensitivities to their displays.,100 cells (effect 0.939; q=4.06 x 10^-6).,"100 cells (effect 0.939; q=4.06 x 10^-6) (Fig. 4a,b; Supplementary Fig. S6).",False
