Priority,ID,Task,Execution rule,Domain
P0,JCR-01,Obtain current JCR evidence,"Use institutional/Clarivate JCR profile or export; record metric year, every relevant category, rank and Q1 status. Do not infer Q1 from JIF.",Journal selection
P0,JCR-02,Select target journal,"Fit-based shortlist: npj Systems Biology and Applications, Communications Biology, Genome Medicine stretch; only candidates with verified JCR Q1 remain eligible.",Journal selection
P0,FIG1-01,Integrate Figure 1c correction,Use corrected builder; change only panel-c threshold label to minimum mapping-agreement criterion; Source Data must remain byte-identical.,Figure
P0,FIG1-02,Correct Figure 1 legend,"Replace `minimum mapped-ARI criterion of 0.990` with `minimum mapping-agreement criterion of 0.990`; rebuild, do not hand-edit DOCX/PDF.",Figure/manuscript
P0,FMT-01,Target-specific manuscript format,"After journal selection, apply title/abstract/section requirements once; retain all HOLDs and claim boundaries.",Manuscript
P1,TEXT-01,Soften single-label omission claim,Use `arguing against dependence on any single contributing source label` rather than `excluding dependence`.,Manuscript
P0,AI-01,Place AI disclosure per journal policy,"For Nature Portfolio candidates, document LLM assistance in Methods while preserving author accountability and no-data-alteration statement.",Policy/manuscript
P0,FIG-ALL,Target-specific figure rerender,"Rerun from code at selected journal's final dimensions; preserve 8-pt panel labels, 5–7-pt non-panel text and vector output.",Figure
P1,EXT-01,Optional true independent methods closure,"If feasible, obtain a named independent methods reviewer response to the 12-question dossier; do not self-certify with the same analysis agent.",Methods governance
P0,DOC-01,Full document rebuild,Regenerate manuscript/supplement/cover after Figure1 and journal formatting; WPS all-page review + accessibility + semantic checks.,Publication engineering
P0,REL-01,Freeze final corrected commit,Create exact final commit after all journal-facing source changes; do not move historical v1.0.0.,Release
P0,REL-02,Publish new archive version,Create new release/tag such as v1.1.0 and Zenodo New Version with version-specific DOI.,Release
P0,REL-03,DOI insertion rebuild,Insert exact new DOI into manuscript/repository/portal metadata and rebuild/reverify package after insertion.,Release
P0,AUTHOR-01,Final exact-file approval,"Both authors approve the journal-formatted, Figure1-corrected, DOI-bound final file hashes and explicitly authorize upload/submission.",Author
P0,SUBMIT-01,Portal preflight and submit,"Upload only authorized final files; inspect portal-generated PDF; save receipt, manuscript number, timestamp and uploaded hashes.",Submission
STOP,SCIENCE,No exploratory rescue,"No new cohort, mapper, threshold, seed, gene set, TF or outcome-informed rescue before first submission.",Governance
